Frase,Autor,Cat1,Cat2,Cat3,Cat4
"¡Oh, libertad gran tesoro!","porque no hay buena prisión,",SOCIEDAD,LEYES,JUSTICIA,
"¡Oh, insensatos afanes de los mortales! ¡Qué débiles son las razones que nos inducen a no levantar nuestro vuelo de la Tierra!",Dante Alighieri (1265-1321) Escritor y filósofo italiano.,SENTIMIENTOS,AMOR,CORAZÓN,
"¡Oh, cuán extemporáneo es comenzar a vivir cuando se ha de dejar de vivir!",Séneca (2 AC-65) Filósofo latino.,NATURALEZA,SER HUMANO,,
¡La felicidad! No existe palabra con más acepciones; cada uno la entiende a su manera.,Cecilia Bohl de Faber (1796-1879) Escritora española.,MISCELÁNEA,,,
¡La ambición! Inmortal óleo divino con que Dios purifica el barro humano.,Francisco Villaespesa (1877-1936) Escritor modernista español.,NATURALEZA,SER HUMANO,HABLAR,
¡Feliz el que ha llegado a conocer las causas de las cosas!,Virgilio (70 a.C.-19 a.C.) Poeta romano.,PENSAMIENTO Y RAZÓN,IDEAS,,
¡Cuántas cosas hay en una risotada! Es la clave secreta con que se descifra un hombre entero.,"Thomas Carlyle (1795-1881) Historiador, pensador y ensayista inglés.",NATURALEZA,VIDA,VIVIR,
La alegría ha sido llamada el buen tiempo del corazón.,Samuel Smiles (1812-1904) Escritor y reformista escocés.,CUALIDADES,GENIO,,
"Hay que ser ligero como el ave, y no como la pluma.",Paul Valéry (1871-1945) Escritor francés.,CUALIDADES,MODERACIÓN,,
"Si poseyeseis cien bellas cualidades, la gente os miraría por el lado menos favorable.",Molière (1622-1673) Comediografo francés.,MISCELÁNEA,FANATISMOS,,
Solamente haciendo el bien se puede realmente ser feliz.,Aristóteles (384 AC-322 AC) Filósofo griego.,DEFECTOS,IGNORANCIA,,
"La vida nos ha sido dada, pero no nos ha sido dada hecha.",José Ortega y Gasset (1883-1955) Filósofo y ensayista español.,MISCELÁNEA,PRÁCTICA,,
¿Es una fe sincera la fe que no actúa?,Jean-Baptiste Racine (1639-1699) Poeta trágico francés.,MISCELÁNEA,GUSTOS,,
"Si no estudias teología, esto no querrá decir que no tengas ideas acerca de Dios, sino que tendrás muchas equivocadas.",Clive Staples Lewis (1898-1963) Escritor británico.,PENSAMIENTO Y RAZÓN,OPINIÓN,,
"En la adversa fortuna suele descubrirse al genio, en la prosperidad se oculta.",Horacio (65 AC-8 AC) Poeta latino.,MISCELÁNEA,VENENO,,
"Las personas nos influyen, las voces nos conmueven, los libros nos convencen, los hechos nos entusiasman.",John H. Newman (1801-1890) Cardenal y escritor británico.,MISCELÁNEA,,,
Un error es tanto más peligroso cuanta más cantidad de verdad contenga.,Henry F. Amiel (1821-1881) Escritor suizo.,SOCIEDAD,LEYES,,
"Si nos atrevemos a creer en la vida eterna, a vivir para la vida eterna, veremos cómo la vida se torna más rica, más grande, libre y dilatada.",Benedicto XVI (1927-?) Papa de la Iglesia Católica.,TIEMPO,,,
"Mientras el tigre no puede dejar de ser tigre, no puede destigrarse,",el hombre vive en riesgo permanente de deshumanizarse.,MISCELÁNEA,RESPETO,,
Nada induce al hombre a sospechar mucho como el saber poco.,Sir Francis Bacon (1561-1626) Filósofo y estadista británico.,ARTE,LITERATURA,LECTURA,
"Cuando las personas tienen libertad para hacer lo que quieren,",por lo general comienzan a imitarse mutuamente.,TIEMPO,,,
Pronto se arrepiente el que juzga apresuradamente.,Publio Siro (Siglo I AC-?) Poeta dramático romano.,MISCELÁNEA,MORIR,,
Menos mal hacen los delincuentes que un mal juez.,Francisco de Quevedo (1580-1645) Escritor español.,SOCIEDAD,NACIONES,,
Justicia sin misericordia es crueldad.,Santo Tomás de Aquino (1224-1274) Filósofo y teólogo.,SENTIMIENTOS,AMISTAD,,
No hay en el mundo señorío como la libertad del corazón.,Baltasar Gracián (1601-1658) Escritor español.,MISCELÁNEA,CENSURA,,
"Muchas cosas hay portentosas, pero ninguna como el hombre. Tiene recursos para todo; sólo la muerte no ha conseguido evitar.",Sófocles (495AC-406AC) Poeta trágico griego.,SENTIMIENTOS,AMOR,,
Quien discute sobre si se puede matar a la propia madre no merece argumentos sino azotes.,Aristóteles (384 AC-322 AC) Filósofo griego.,SENTIMIENTOS,AMOR,,
Mucha gente cree que discrepa de los demás y lo que pasa es que no tienen valor para hablar unos con otros.,John H. Newman (1801-1890) Cardenal y escritor británico.,MISCELÁNEA,EXCESOS,,
"Una idea fija siempre parece una gran idea, no por ser grande, sino porque llena todo un cerebro.",Jacinto Benavente (1866-1954) Dramaturgo español.,MISCELÁNEA,FRACASO,,
"Hay mucho que saber, y es poco el vivir, y no se vive si no se sabe.",Baltasar Gracián (1601-1658) Escritor español.,MISCELÁNEA,REALISTA,,
El genio hace lo que debe y el talento lo que puede.,Edward George Bulwer-Lytton (1803-1873) Escritor inglés.,MISCELÁNEA,CURIOSIDAD,,
Un hombre desenfrenado no puede inspirar afecto; es insociable y cierra la puerta a la amistad.,Sócrates (470 AC-399 AC) Filósofo griego.,MISCELÁNEA,CONDENAR,,
Los fanatismos que más debemos temer son aquellos que pueden confundirse con la tolerancia.,"Fernando Arrabal (1932-?) Dramaturgo, poeta y novelista español.",CUALIDADES,BONDAD,,
Nada perturba tanto la vida humana como la ignorancia del bien y el mal.,"Cicerón (106 AC-43 AC) Escritor, orador y político romano.",CUALIDADES,TALENTO,,
La práctica es un maestro excepcional.,Plinio el Joven (62-113) Escritor romano.,SOCIEDAD,FEMINISMO,,
Al hombre de cada siglo le salva un grupo de hombres que se oponen a sus gustos.,Gilbert Keith Chesterton (1874-1936) Escritor británico.,NATURALEZA,,,
Nada me inspira más veneración y asombro que un anciano que sabe cambiar de opinión.,Santiago Ramón y Cajal (1852-1934) Médico español.,NATURALEZA,VIDA,,
"No daré veneno a nadie aunque me lo pida, ni le sugeriré tal posibilidad.",Hipócrates (s. V AC-s. IV AC) Médico griego.,SOCIEDAD,RELIGIÓN,DIOS,EXISTENCIA DE DIOS
El cerebro es mi segundo órgano en importancia.,"Woody Allen (1935-?) Actor, director y escritor estadounidense.",CUALIDADES,REBELDÍA,,
El árbol de las leyes ha de podarse continuamente.,Anatole France (1844-1924) Escritor francés.,SOCIEDAD,RELIGIÓN,DIOS,
Toda reforma fue en un tiempo simple opinión particular.,Emerson (1803-1882) Poeta y pensador estadounidense.,SOCIEDAD,RELIGIÓN,DIOS,
El tiempo no es sino la corriente en la que estoy pescando.,"Henry David Thoreau (1817-1862) Escritor, poeta y pensador.",SOCIEDAD,TRABAJO,,
El obrero tiene más necesidad de respeto que de pan.,Karl Marx (1818-1883) Filósofo y economista alemán.,MISCELÁNEA,REINAR,,
Solamente cuando madura cae el fruto de la fortuna.,Friedrich Schiller (1759-1805) Poeta y dramaturgo alemán,SENTIMIENTOS,NECESIDAD,,
Mediante la lectura nos hacemos contemporáneos de todos los hombres y ciudadanos de todos los países.,Antoine Houdar de la Motte (1672-1731) Escritor francés,SOCIEDAD,DINERO,,
El tiempo es una cierta parte de la eternidad.,"Cicerón (106 AC-43 AC) Escritor, orador y político romano.",ARTE,ARTISTAS,,
Nadie más muere que el olvidado.,Gregorio Marañón (1887-1960) Médico y escritor español.,MISCELÁNEA,DEPRESIÓN,,
Cada nación se burla de las otras y todas tienen razón.,Arthur Schopenhauer (1788-1860) Filósofo alemán.,TIEMPO,VEJEZ,,
"El pájaro tiene su nido, la araña su tela, el hombre la amistad.",William Blake (1757-1827) Poeta y pintor inglés.,TIEMPO,VEJEZ,,
Haceos con amigos dispuestos a censuraros.,Nicolas Boileau (1636-1711) Poeta y crítico literario francés.,PENSAMIENTO Y RAZÓN,VERDAD,,
El amor puede ser un pasatiempo y una tragedia.,Isadora Duncan (1877-1927) Bailarina estadounidense.,ARTE,LITERATURA,POESÍA,
Todo el que intenta salvar a otra persona con la mentira de un amor sin límite arroja una sombra al rostro de Dios.,Arthur Miller (1915-2005) Dramaturgo estadounidense.,PENSAMIENTO Y RAZÓN,VERDAD,,
Todo es bueno cuando es excesivo.,Marqués de Sade (1740-1814) Escritor francés.,CUALIDADES,VIRTUD,,
Hay hombres que no suben después de caer.,Arthur Miller (1915-2005) Dramaturgo estadounidense.,CUALIDADES,CONCIENCIA,,
El único realista de verdad es el visionario.,Federico Fellini (1920-1993) Director de cine italiano.,CUALIDADES,TOLERANCIA,,
Nuestro crimen es ser hombres y querer conocer.,"Alphonse de Lamartine (1790-1869) Historiador, político y poeta francés.",ARTE,LITERATURA,CITAS,
La gente termina siempre por condenar a los que acusa.,Honoré de Balzac (1799-1850) Escritor francés.,CUALIDADES,VIRTUD,,
Se puede ser un buen hombre y hacer malos versos.,Molière (1622-1673) Comediografo francés.,NATURALEZA,SER HUMANO,,
Dos talentos en un solo matrimonio son mucho talento para una sola casa.,Louis de Bonald (1754-1840) Filósofo y político francés.,DEFECTOS,VICIOS,,
No se nace mujer: se llega a serlo.,Simone de Beauvoir (1908-1986) Novelista e intelectual francesa.,PENSAMIENTO Y RAZÓN,PENSAMIENTO,,
Sólo obedeciéndola se doblega a la naturaleza.,Sir Francis Bacon (1561-1626) Filósofo y estadista británico.,CUALIDADES,BONDAD,,
Lo mejor que la naturaleza ha dado al hombre es la brevedad de su vida.,Plinio el Viejo (23-79) Caius Plinius Secundus. Escritor latino.,MISCELÁNEA,FORTUNA,,
Verdaderamente tiemblo por mi patria cuando pienso que Dios existe.,Thomas Jefferson (1743-1826) Político Estadounidense.,MISCELÁNEA,CONCLUSIÓN,,
Un poco de rebelión de vez en cuando es buena cosa.,Thomas Jefferson (1743-1826) Político Estadounidense.,PENSAMIENTO Y RAZÓN,DESEO,,
No tomes el nombre de Dios en vano; escoge el momento en que tenga efecto.,Ambrose Bierce (1842-1914) Escritor estadounidense.,SENTIMIENTOS,AMOR,,
"A una persona naturalmente confiada le lleva bastante tiempo reconciliarse con la idea de que, después de todo, Dios no lo ayudará.",Henry-Louis Mencken (1880-1956) Periodista y escritor estadounidense.,MISCELÁNEA,CONSEJO,,
"Para los que no tenemos religión, nuestro Dios es el trabajo.",Paul Bowles (1910-1999) Escritor y compositor estadounidense.,SENTIMIENTOS,PIEDAD,,
"Más vale reinar en el Infierno, que servir en el Cielo.",John Milton (1608-1674) Poeta inglés.,MISCELÁNEA,,,
Ningún hombre necesita poco.,Arthur Miller (1915-2005) Dramaturgo estadounidense.,SENTIMIENTOS,FELICIDAD,FELIZ,
Los que aman el dinero no lo regalan.,Arthur Miller (1915-2005) Dramaturgo estadounidense.,TIEMPO,,,
Un pueblo desgraciado hace los grandes artistas.,Alfred de Musset (1810-1857) Poeta francés.,SOCIEDAD,,,
Recesión es cuando tu vecino se queda sin empleo; depresión es cuando lo pierdes tú.,Ronald Reagan (1911-2004) Político estadounidense. Ex-presidente.,MISCELÁNEA,FORTUNA,,
En la vejez no se hace más que repetirse.,Pío Baroja (1872-1956) Escritor español.,PENSAMIENTO Y RAZÓN,IMAGINACIÓN,,
La vejez es un exceso que aumenta por días.,Enrique Jardiel Poncela (1901-1952) Escritor español.,NATURALEZA,SER HUMANO,PALABRAS,
La verdad no hace tanto bien en el mundo como el daño que hacen sus apariencias.,François de La Rochefoucauld (1613-1680) Escritor francés.,SOCIEDAD,COSTUMBRE,,
"Muchos van hacia la verdad por los caminos de la poesía. Yo llego a la poesía, por los caminos de la verdad.",Joseph Joubert (1754-1824) Ensayista y moralista francés.,MISCELÁNEA,CIELO,,
"Al salir de ciertas bocas, la misma verdad tiene mal olor.",Jean Jacques Rousseau (1712-1778) Filósofo francés.,CUALIDADES,DISCRECIÓN,,
"Instruida, la virtud calcula tan bien como el vicio.",Honoré de Balzac (1799-1850) Escritor francés.,SOCIEDAD,RELIGIÓN,DIOS,
La conciencia es una voz interior que nos advierte que alguien puede estar mirando.,Henry-Louis Mencken (1880-1956) Periodista y escritor estadounidense.,NATURALEZA,VIDA,,
La tolerancia es la virtud del débil.,Marqués de Sade (1740-1814) Escritor francés.,SOCIEDAD,TRADICIÓN,,
Detesto más las malas máximas que las malas acciones.,Jean Jacques Rousseau (1712-1778) Filósofo francés.,MISCELÁNEA,DIGNIDAD,,
"Desgraciadamente, hay virtudes que sólo los ricos pueden cultivar.",Conde de Rivarol (1753-1801) Escritor francés.,DEFECTOS,NECEDAD,,
Todo hombre lleva en sí un dictador y un anarquista.,Paul Valéry (1871-1945) Escritor francés.,CUALIDADES,OPTIMISMO,,
¡Ay los vicios humanos! Son ellos los que contienen la prueba de nuestro amor por el infinito.,"Charles Baudelaire (1821-1867) Escritor, poeta y crítico francés.",MISCELÁNEA,AZAR,,
No hay que cargar nuestros pensamientos con el peso de nuestros zapatos.,André Breton (1896-1966) Poeta y crítico francés.,PENSAMIENTO Y RAZÓN,RAZÓN,,
"La culpa la tiene sólo el tiempo. Todos los hombres se tornan buenos, pero ¡tan despacio!",Robert Browning (1812-1889) Poeta inglés.,SENTIMIENTOS,ODIO,,
"Para amasar una fortuna no se requiere ingenio, lo preciso es carecer de delicadeza.",Caballero de Bruix (1728-1780) Escritor francés.,MISCELÁNEA,COMPETENCIA,,
La vida es el arte de sacar conclusiones suficientes a partir de datos insuficientes.,Samuel Butler (novelista) (1835-1902) Novelista inglés.,SOCIEDAD,DINERO,POBREZA,
El que se alimenta de deseos reprimidos finalmente se pudre.,William Blake (1757-1827) Poeta y pintor inglés.,CUALIDADES,INTELIGENCIA,,
"El amor crea en la mujer, una mujer nueva; la de la víspera ya no existe al día siguiente.",Honoré de Balzac (1799-1850) Escritor francés.,MISCELÁNEA,DIOSES,,
No le des nunca consejos al que te pida dinero.,Pedro Calderón de la Barca (1600-1681) Dramaturgo y poeta español.,SOCIEDAD,RELIGIÓN,,
"¡Quién necesita piedad, sino aquellos que no tienen compasión de nadie!",Albert Camus (1913-1960) Escritor francés.,SOCIEDAD,HOMBRES,,
Darse no tiene sentido más que si uno se posee.,Albert Camus (1913-1960) Escritor francés.,PENSAMIENTO Y RAZÓN,VERDAD,,
Un hombre feliz es un bien común.,"George Chapman (1559-1634) Poeta, dramaturgo y traductor inglés.",SOCIEDAD,GUERRA,,
"La juventud es un disparate; la madurez, una lucha; la vejez, un remordimiento.",Benjamin Disraeli (1804-1881) Estadista ingles.,DEFECTOS,MALDAD,,
La sociedad es en todos los sitios una conspiración contra la personalidad de cada uno de sus miembros.,Emerson (1803-1882) Poeta y pensador estadounidense.,MISCELÁNEA,MATAR,,
La fortuna se cansa de llevar siempre a un mismo hombre sobre las espaldas.,Baltasar Gracián (1601-1658) Escritor español.,SOCIEDAD,LEYES,,
Las personas reales están repletas de seres imaginarios.,Graham Greene (1904-1991) Novelista británico.,MISCELÁNEA,,,
Sólo valen las palabras. El resto es charlatanería.,Eugene Ionesco (1912-1994) Dramaturgo francés de origen rumano.,SENTIMIENTOS,FE,,
La costumbre con la costumbre se vence.,Thomas De Kempis (1380-1471) Teólogo alemán.,SOCIEDAD,POLÍTICA,,
El que busca el cielo en la tierra se ha dormido en clase de geografía.,Stanislaw Lec (1909-1966) Escritor polaco de origen judío.,CIENCIAS,,,
La mosca que no quiere ser cazada está más segura cuando se posa en el cazamoscas.,Georg Christoph Lichtenberg (1742-1799) Profesor de física y científico alemán.,ARTE,LITERATURA,ESCRITOR,
Dios no es más que una palabra para explicar el mundo.,"Alphonse de Lamartine (1790-1869) Historiador, político y poeta francés.",SOCIEDAD,HISTORIA,HISTORIADORES,
"He aprendido que una vida no vale nada, pero también que nada vale una vida.",André Malraux (1901-1976) Novelista y político francés.,CUALIDADES,PERFECCIÓN,,
La tradición no se hereda se conquista.,André Malraux (1901-1976) Novelista y político francés.,SOCIEDAD,COSTUMBRE,,
La indignación moral es la estrategia tipo para dotar al idiota de dignidad.,Herbert Marshall McLuhan (1911-1980) Comunicólogo canadiense.,SOCIEDAD,POLÍTICA,,
El malvado descansa algunas veces; el necio jamás.,José Ortega y Gasset (1883-1955) Filósofo y ensayista español.,SOCIEDAD,GOBIERNO,,
"Para quienes no ansían sino ver, hay luz bastante; mas para quienes tienen opuesta disposición, siempre hay bastante oscuridad.","Blaise Pascal (1623-1662) Científico, filósofo y escritor francés.",SOCIEDAD,POLÍTICA,DEMOCRACIA,
El azar es orden en el tiempo.,Guillermo Pérez Villalta (1945-?) Pintor español.,SOCIEDAD,POLÍTICA,DEMOCRACIA,
"Razonar y convencer, ¡qué difícil, largo y trabajoso! ¿Sugestionar? ¡Qué fácil, rápido y barato!",Santiago Ramón y Cajal (1852-1934) Médico español.,SOCIEDAD,,,
La diferencia engendra odio.,Stendhal (1783-1842) Escritor francés.,SOCIEDAD,,,
Una persona competente es una persona que se equivoca según las reglas.,Paul Valéry (1871-1945) Escritor francés.,SOCIEDAD,,,
El que tiene miedo de la pobreza no es digno de ser rico.,Voltaire (1694-1778) Filósofo y escritor francés.,SOCIEDAD,,,
"Quien no tiene toda la inteligencia de su edad, tiene toda su desgracia.",Voltaire (1694-1778) Filósofo y escritor francés.,MISCELÁNEA,PROSPERIDAD,,
"Cuando el Cielo se vacía de Dios, la tierra se llena de ídolos.",Karl Barth (1886-1968) Teólogo suizo.,MISCELÁNEA,ESTADO,,
Solamente el hombre religioso es siempre el mismo. Porque su Dios no cambia.,Joseph Joubert (1754-1824) Ensayista y moralista francés.,MISCELÁNEA,ESTADO,,
"Cuando al hombre se le pone como medida de todas las cosas, se le convierte en esclavo de su propia finitud.",Juan Pablo II (1920-2005) Papa de la iglesia católica.,SOCIEDAD,LIBERTAD,,
La verdad mal intencionada es peor que la mentira.,William Blake (1757-1827) Poeta y pintor inglés.,SOCIEDAD,LIBERTAD,,
"Hay que evitar el combate en lugar de vencer en él. Hay triunfos que empobrecen al vencido, pero no enriquecen al vencedor.","Juan Zorrilla de San Martín (1855-1931) Periodista, ensayista y poeta uruguayo.",SOCIEDAD,GUERRA,,
Nadie se hizo perverso súbitamente.,Juvenal (67-127) Poeta satírico romano.,SOCIEDAD,LIBERTAD,,
"El mayor crimen está ahora, no en los que matan, sino en los que no matan pero dejan matar.",José Ortega y Gasset (1883-1955) Filósofo y ensayista español.,SOCIEDAD,LIBERTAD,,
La Ley ha sido dada para que se implore la gracia; la gracia ha sido dada para que se observe la ley.,San Agustín (354-430) Obispo y filósofo.,SOCIEDAD,DERECHOS,,
El modernismo es la actitud de quien no cree en lo que cree.,Charles Péguy (1873-1914) Escritor francés.,SOCIEDAD,POLÍTICA,DEMOCRACIA,
"Una fe que nosotros mismos podemos determinar, no es en absoluto una fe.",Benedicto XVI (1927-?) Papa de la Iglesia Católica.,SOCIEDAD,POLÍTICA,DEMOCRACIA,
"Cuando la política promete ser redención, promete demasiado. Cuando pretende hacer la obra de Dios, pasa a ser, no divina, sino demoníaca.",Benedicto XVI (1927-?) Papa de la Iglesia Católica.,SOCIEDAD,LIBERTAD,,
"La ciencia consiste en sustituir el saber que parecía seguro por una teoría, o sea, por algo problemático.",José Ortega y Gasset (1883-1955) Filósofo y ensayista español.,SOCIEDAD,LIBERTAD,,
"Para el escritor hay una cuestión de honor intelectual en no escribir nada susceptible de prueba, sin poseer antes ésta.",José Ortega y Gasset (1883-1955) Filósofo y ensayista español.,SOCIEDAD,LIBERTAD,,
Un historiador es un profeta al revés.,José Ortega y Gasset (1883-1955) Filósofo y ensayista español.,NATURALEZA,,,
"¿Qué perfección es ésta que complace y no subyuga, que admira y no arrastra?",José Ortega y Gasset (1883-1955) Filósofo y ensayista español.,SOCIEDAD,LIBERTAD,,
Nada hay más fuerte que el hábito.,Ovidio (43 AC-17) Poeta latino.,SOCIEDAD,LIBERTAD,,
La política es el arte de impedir que la gente se entrometa en lo que le atañe.,Paul Valéry (1871-1945) Escritor francés.,MISCELÁNEA,PATRIA,,
Los partidos son un mal inherente a los gobiernos libres.,Alexis Tocqueville (1805-1859) Político e historiador francés.,MISCELÁNEA,PATRIA,,
La democracia no es más que un poder arbitrario constitucional que ha sustituído a otro poder arbitrario constitucional.,Pierre Joseph Proudhon (1809-1865) Filósofo francés.,SOCIEDAD,POLÍTICA,,
Creo en la democracia porque da rienda suelta a las energías de todo ser humano.,Woodrow Wilson (1856-1924) Político y jurista nortemaericano.,SOCIEDAD,POLÍTICA,,
"No buscamos la sociedad por amor a ella misma, sino por los honores o los beneficios que puede reportarnos.",Thomas Hobbes (1588-1679) Filósofo y tratadista político inglés.,SOCIEDAD,POLÍTICA,POLÍTICOS,
La ley de la sociedad es cada uno para todos y todos para cada uno.,Henry George (1839-1897) Economista inglés.,SOCIEDAD,POLÍTICA,POLÍTICOS,
"Las sociedades no mueren de la cúspide a la base, sino de la base a la cúspide.",Henry George (1839-1897) Economista inglés.,MISCELÁNEA,PATRIA,,
La sociedad difiere de la naturaleza en que persigue una finalidad moral definida.,Thomas Henry Huxley (1825-1895) Zoólogo inglés.,SOCIEDAD,GOBIERNO,,
Un Estado próspero honra a los dioses.,Esquilo de Eleusis (525 AC-456 AC) Poeta trágico.,SOCIEDAD,PUEBLO,,
Los Estados son grandes máquinas que se mueven lentamente.,Sir Francis Bacon (1561-1626) Filósofo y estadista británico.,SOCIEDAD,PUEBLO,,
El Estado soy yo.,Luis XIV de Francia (1638-1715) Rey de Francia.,NATURALEZA,SER HUMANO,,
"La libertad abstracta, al igual que otras simples abstracciones, no puede ser encontrada.",Edmund Burke (1729-1797) Político y escritor irlandés.,SOCIEDAD,RELIGIÓN,DIOS,
El árbol de la libertad debe ser vigorizado de vez en cuando con la sangre de patriotas y tiranos: es su fertilizante natural.,Thomas Jefferson (1743-1826) Político Estadounidense.,SOCIEDAD,PODER,,
No puede esperarse que los hombres sean trasladados del despotismo a la libertad en un lecho de plumas.,Thomas Jefferson (1743-1826) Político Estadounidense.,SOCIEDAD,GOBIERNO,,
Libertad moral es la única libertad verdaderamente importante.,Joseph Joubert (1754-1824) Ensayista y moralista francés.,MISCELÁNEA,ESTADO,,
"No más partidos, no más autoridad, libertad absoluta del hombre y del ciudadano: esta es mi profesión de fe social y política.",Pierre Joseph Proudhon (1809-1865) Filósofo francés.,SOCIEDAD,GOBIERNO,,
"Todos los hombres tienen iguales derechos a la libertad, a su prosperidad y a la protección de las leyes.",Voltaire (1694-1778) Filósofo y escritor francés.,SOCIEDAD,GOBIERNO,,
Las democracias suelen ser más tranquilas y están menos expuestas a la sedición que el régimen gobernado por una estirpe de nobles.,Sir Francis Bacon (1561-1626) Filósofo y estadista británico.,SOCIEDAD,GOBIERNO,,
"Una democracia no es en realidad más que una aristocracia de oradores, interrumpida a veces por la monarquía temporal de un orador.",Thomas Hobbes (1588-1679) Filósofo y tratadista político inglés.,SOCIEDAD,GOBIERNO,,
"¡Oh, dulce nombre de la libertad!","Cicerón (106 AC-43 AC) Escritor, orador y político romano.",MISCELÁNEA,PRINCIPIOS,,
"¿Preguntas qué es la libertad? No ser esclavo de nada, de ninguna necesidad, de ningún accidente y conservar la fortuna al alcance de la mano.",Séneca (2 AC-65) Filósofo latino.,MISCELÁNEA,ESTADO,,
Las libertades y los amos no se combinan fácilmente.,Tácito (55-115) Historiador romano.,SOCIEDAD,PROGRESO,,
La naturaleza concede libertad hasta a los animales.,Tácito (55-115) Historiador romano.,MISCELÁNEA,,,
No es bueno ser demasiado libre. No es bueno tener todo lo que uno quiere.,"Blaise Pascal (1623-1662) Científico, filósofo y escritor francés.",MISCELÁNEA,SIN CLASIFICAR,,
"La libertad puede conducir a muchas transgresiones, pero incluso a los vicios les presta una forma menos innoble.",Karl Wilhelm Von Humboldt (1767-1835) Político prusiano.,SOCIEDAD,RELIGIÓN,MILAGROS,
Debemos amar a nuestro país aunque nos trate injustamente.,Voltaire (1694-1778) Filósofo y escritor francés.,SOCIEDAD,RELIGIÓN,DIOS,
¡Cuán querida es de todos los corazones buenos su tierra natal!,Voltaire (1694-1778) Filósofo y escritor francés.,SOCIEDAD,POLÍTICA,DEMOCRACIA,
"En política, como en religión, hay devotos que manifiestan su veneración por un santo desaparecido convirtiendo su tumba en un santuario del crimen.",Thomas Macaulay (1800-1859) Historiador y político británico.,CUALIDADES,CONCIENCIA,,
Los resultados de los cambios políticos rara vez son aquellos que sus amigos esperan o que sus enemigos temen.,Thomas Henry Huxley (1825-1895) Zoólogo inglés.,SOCIEDAD,RELIGIÓN,IGLESIA,
El político debe hablar y obrar muchas veces sin haber pensado ni leído.,Thomas Macaulay (1800-1859) Historiador y político británico.,SOCIEDAD,TRABAJO,TRABAJAR,
Los políticos tímidos e interesados se preocupan mucho más de la seguridad de sus puestos que de la seguridad de su país.,Thomas Macaulay (1800-1859) Historiador y político británico.,TIEMPO,ETERNIDAD,,
El amor a la patria es más patente que la razón misma.,Ovidio (43 AC-17) Poeta latino.,NATURALEZA,SER HUMANO,,
Dejad pensar al pueblo que gobierna y se dejará gobernar.,William Penn (1644-1718) Religioso británico.,CUALIDADES,OPORTUNIDAD,,
Yo conozco al pueblo: cambia en un día. Derrocha pródigamente lo mismo su odio que su amor.,Voltaire (1694-1778) Filósofo y escritor francés.,PENSAMIENTO Y RAZÓN,VERDAD,,
El pueblo es una fiera de múltiples cabezas.,Alexander Pope (1688-1744) Poeta inglés.,NATURALEZA,MUERTE,,
"Teniendo en cuenta la naturaleza humana, ejercer el poder sobre el sustento de un hombre equivale a ejercer el poder sobre su voluntad.",Alexander Hamilton (1757-1804) Político estadounidense.,ARTE,LITERATURA,CITAS,
Un poder situado por encima de toda responsabilidad humana debe estar fuera del alcance de todo ser humano.,Charles Caleb Colton (1780-1832) Poeta inglés.,TIEMPO,JUVENTUD,,
"Los hombres, tal como son, se inclinan por naturaleza a ir en pos del dinero o del poder, y del poder porque vale tanto como el dinero.",Emerson (1803-1882) Poeta y pensador estadounidense.,SOCIEDAD,DINERO,,
"Cuando se alza un poder ilegítimo, para legitimarlo basta reconocerlo.",Anatole France (1844-1924) Escritor francés.,CUALIDADES,MESURA,,
"Los Estados, para la diplomacia, no son los pueblos, sino los reyes que los dirigen o los esclavizan.",Juan Donoso Cortés (1809-1853) Ensayista español.,MISCELÁNEA,SIN CLASIFICAR,,
El primer error que se comete en los negocios públicos es consagrarse a ellos.,Benjamin Franklin (1706-1790) Estadista y científico estadounidense.,PENSAMIENTO Y RAZÓN,PENSAMIENTO,,
El mejor gobierno es el que desea hacer feliz al pueblo y sabe cómo lograrlo.,Thomas Macaulay (1800-1859) Historiador y político británico.,ARTE,LITERATURA,LIBROS,
Hay ocasiones en que un gobierno debe ser liberal y otras en que debe ser dictatorial: aquí todo cambia y no hay eternidad.,Otto von Bismark (1815-1898) Político alemán.,SENTIMIENTOS,AMOR,PASIÓN,
Hay muy pocos que sean tan necios que no prefieren gobernarse a sí mismos antes que ser gobernados por otros.,Thomas Hobbes (1588-1679) Filósofo y tratadista político inglés.,SOCIEDAD,COSTUMBRE,,
La descomposición de todo gobierno comienza por la decadencia de los principio sobre los cuales fué fundado.,Montesquieu (1689-1755) Escritor y político francés.,CIENCIAS,TECNOLOGÍA,,
Apenas son suficientes mil años para formar un Estado; pero puede bastar una hora para reducirlo a polvo.,Lord Byron (1788-1824) Poeta británico.,NATURALEZA,VIDA,,
Todas las épocas decadentes son subjetivas y por contra todas las épocas de progreso son objetivas.,Goethe (1749-1832) Poeta y dramaturgo alemán.,MISCELÁNEA,MORIR,,
"Quisiera ser como un camino, por el que todos pasan, y que luego olvidan.",Paul Claudel (1868-1955) Escritor y diplomático francés.,SENTIMIENTOS,AMOR,CORAZÓN,
"Se aferran a su parecer, no por verdadero sino por suyo.",San Agustín (354-430) Obispo y filósofo.,SOCIEDAD,HISTORIA,,
"Pedimos milagros, como si no fuese el milagro más evidente el que los pidamos.",Miguel de Unamuno (1864-1936) Filósofo y escritor español.,MISCELÁNEA,CARGO PÚBLICO,,
La misma debilidad de Dios procede de su omnipotencia.,San Agustín (354-430) Obispo y filósofo.,SOCIEDAD,POLÍTICA,POLÍTICOS,
