Frase,Autor,Cat1,Cat2,Cat3,Cat4
"Antes de poner en duda el buen juicio de tu mujer, fíjate con quien se ha casado ella.",Proverbio egipcio,SENTIMIENTOS,AMOR,INFIDELIDAD,
"Los hombres engañan más que las mujeres; las mujeres, mejor.",Joaquín Sabina (1949-?) Cantautor y poeta español.,PENSAMIENTO Y RAZÓN,VERDAD,,
La verdad se corrompe tanto con la mentira como con el silencio.,"Cicerón (106 AC-43 AC) Escritor, orador y político romano.",SENTIMIENTOS,AMOR,BESOS,
"Besos que vienen riendo, luego llorando se van, y en ellos se va la vida, que nunca más volverá.",Miguel de Unamuno (1864-1936) Filósofo y escritor español.,SENTIMIENTOS,FELICIDAD,,
"En la vida no hay premios ni castigos, sino consecuencias.",Robert Green Ingersoll (1833-1899) Politico y orador norteamericano.,NATURALEZA,VIDA,,
El verdadero secreto de la felicidad consiste en exigir mucho de sí mismo y muy poco de los otros.,Albert Guinon (1863-1923) Dramaturgo francés.,CUALIDADES,SABIDURÍA,,
La vida es aquello que te va sucediendo mientras te empeñas en hacer otros planes.,John Lennon (1940-1980) Cantante y compositor británico.,NATURALEZA,VIDA,,
No hay que confundir nunca el conocimiento con la sabiduría. El primero nos sirve para ganarnos la vida; la sabiduría nos ayuda a vivir.,Sorcha Carey (1943-?) Profesora de arte clásico inglés.,PENSAMIENTO Y RAZÓN,DECISIONES,,
"A veces podemos pasarnos años sin vivir en absoluto, y de pronto toda nuestra vida se concentra en un solo instante.",Oscar Wilde (1854-1900) Dramaturgo y novelista irlandés.,SENTIMIENTOS,AMOR,AMANTES,
El mundo entero se aparta cuando ve pasar a un hombre que sabe adónde va.,Antoine de Saint-Exupéry (1900-1944) Escritor francés.,NATURALEZA,VIDA,,
No existe nada más interesante que la conversación de dos amantes que permanecen callados.,Achile Tournier (1847-1906) Escritor francés,SENTIMIENTOS,AMOR,AMAR,
"Estar preparado es importante, saber esperar lo es aún más, pero aprovechar el momento adecuado es la clave de la vida.",Arthur Schnitzler (1862-1931) Dramaturgo austríaco.,SOCIEDAD,LIBERTAD,,
"Si no recuerdas la más ligera locura en que el amor te hizo caer, no has amado.",William Shakespeare (1564-1616) Escritor británico.,CUALIDADES,SABIDURÍA,,
Las cadenas de la esclavitud solamente atan las manos: es la mente lo que hace al hombre libre o esclavo.,Franz Grillparzer (1791-1872) Dramaturgo austriaco.,SENTIMIENTOS,AMOR,AMAR,
